ID,LHS,LHS Type,RHS,Probability
1,ADJP,nonterminal,DEG JJ,1.0000
2,NP,nonterminal,ADJP NP,0.0472
3,NP,nonterminal,DT N,0.7606
4,NP,nonterminal,NP PP,0.1922
5,PP,nonterminal,IN NP,1.0000
6,S,nonterminal,NP V,0.4132
7,S,nonterminal,NP VP,0.5868
8,VP,nonterminal,MD VP,0.0514
9,VP,nonterminal,V NP,0.5408
10,VP,nonterminal,V PP,0.1801
11,VP,nonterminal,VP PP,0.0001
12,VP,nonterminal,VP RB,0.2276
13,DEG,preterminal,quite,0.3451
14,DEG,preterminal,really,0.1662
15,DEG,preterminal,very,0.4887
16,DT,preterminal,a,0.2714
17,DT,preterminal,eight,0.0095
18,DT,preterminal,five,0.0192
19,DT,preterminal,four,0.0229
20,DT,preterminal,nine,0.0072
21,DT,preterminal,one,0.0334
22,DT,preterminal,seven,0.0133
23,DT,preterminal,six,0.0163
24,DT,preterminal,ten,0.0031
25,DT,preterminal,the,0.4115
26,DT,preterminal,this,0.1348
27,DT,preterminal,three,0.0271
28,DT,preterminal,two,0.0303
29,IN,preterminal,at,0.1829
30,IN,preterminal,by,0.1054
31,IN,preterminal,from,0.0703
32,IN,preterminal,in,0.2497
33,IN,preterminal,near,0.0360
34,IN,preterminal,on,0.2126
35,IN,preterminal,with,0.1431
36,JJ,preterminal,ancient,0.0516
37,JJ,preterminal,big,0.0934
38,JJ,preterminal,brave,0.0425
39,JJ,preterminal,bright,0.0800
40,JJ,preterminal,calm,0.0420
41,JJ,preterminal,careful,0.0364
42,JJ,preterminal,eager,0.0271
43,JJ,preterminal,gentle,0.0196
44,JJ,preterminal,happy,0.0658
45,JJ,preterminal,honest,0.0168
46,JJ,preterminal,kind,0.0133
47,JJ,preterminal,modern,0.0580
48,JJ,preterminal,noisy,0.0442
49,JJ,preterminal,quick,0.0886
50,JJ,preterminal,quiet,0.0097
51,JJ,preterminal,serious,0.0613
52,JJ,preterminal,slow,0.0749
53,JJ,preterminal,small,0.0920
54,JJ,preterminal,smart,0.0794
55,JJ,preterminal,wild,0.0034
56,MD,preterminal,can,0.2386
57,MD,preterminal,could,0.1281
58,MD,preterminal,may,0.0688
59,MD,preterminal,might,0.0372
60,MD,preterminal,should,0.1381
61,MD,preterminal,will,0.1959
62,MD,preterminal,would,0.1934
63,N,preterminal,artist,0.0096
64,N,preterminal,artists,0.0132
65,N,preterminal,bridge,0.0019
66,N,preterminal,bridges,0.0025
67,N,preterminal,car,0.0298
68,N,preterminal,cars,0.0423
69,N,preterminal,cat,0.0374
70,N,preterminal,cats,0.0535
71,N,preterminal,cities,0.0448
72,N,preterminal,city,0.0312
73,N,preterminal,doctor,0.0082
74,N,preterminal,doctors,0.0100
75,N,preterminal,dog,0.0386
76,N,preterminal,dogs,0.0561
77,N,preterminal,forest,0.0054
78,N,preterminal,forests,0.0082
79,N,preterminal,garden,0.0184
80,N,preterminal,gardens,0.0289
81,N,preterminal,home,0.0000
82,N,preterminal,idea,0.0283
83,N,preterminal,ideas,0.0387
84,N,preterminal,libraries,0.0253
85,N,preterminal,library,0.0178
86,N,preterminal,machine,0.0160
87,N,preterminal,machines,0.0229
88,N,preterminal,music,0.0232
89,N,preterminal,planet,0.0143
90,N,preterminal,planets,0.0184
91,N,preterminal,professor,0.0332
92,N,preterminal,professors,0.0484
93,N,preterminal,project,0.0265
94,N,preterminal,projects,0.0371
95,N,preterminal,river,0.0215
96,N,preterminal,rivers,0.0305
97,N,preterminal,songs,0.0339
98,N,preterminal,stories,0.0052
99,N,preterminal,story,0.0042
100,N,preterminal,student,0.0344
101,N,preterminal,students,0.0511
102,N,preterminal,teacher,0.0117
103,N,preterminal,teachers,0.0175
104,RB,preterminal,abroad,0.0519
105,RB,preterminal,ahead,0.0347
106,RB,preterminal,anywhere,0.0192
107,RB,preterminal,away,0.0464
108,RB,preterminal,back,0.0351
109,RB,preterminal,downstairs,0.0670
110,RB,preterminal,elsewhere,0.0262
111,RB,preterminal,everywhere,0.0153
112,RB,preterminal,inside,0.0791
113,RB,preterminal,later,0.0058
114,RB,preterminal,nearby,0.0534
115,RB,preterminal,outside,0.0762
116,RB,preterminal,somewhere,0.0285
117,RB,preterminal,soon,0.0076
118,RB,preterminal,today,0.0953
119,RB,preterminal,tomorrow,0.0979
120,RB,preterminal,tonight,0.0863
121,RB,preterminal,upstairs,0.0714
122,RB,preterminal,yesterday,0.1026
123,V,preterminal,admire,0.0139
124,V,preterminal,admired,0.0144
125,V,preterminal,admires,0.0156
126,V,preterminal,arrive,0.0132
127,V,preterminal,arrived,0.0301
128,V,preterminal,arrives,0.0175
129,V,preterminal,build,0.0151
130,V,preterminal,builds,0.0152
131,V,preterminal,built,0.0160
132,V,preterminal,call,0.0046
133,V,preterminal,called,0.0050
134,V,preterminal,calls,0.0048
135,V,preterminal,chase,0.0161
136,V,preterminal,chased,0.0166
137,V,preterminal,chases,0.0175
138,V,preterminal,collapse,0.0030
139,V,preterminal,collapsed,0.0065
140,V,preterminal,collapses,0.0041
141,V,preterminal,cough,0.0073
142,V,preterminal,coughed,0.0156
143,V,preterminal,coughs,0.0095
144,V,preterminal,cried,0.0089
145,V,preterminal,cries,0.0058
146,V,preterminal,cry,0.0045
147,V,preterminal,dance,0.0080
148,V,preterminal,danced,0.0190
149,V,preterminal,dances,0.0127
150,V,preterminal,depart,0.0120
151,V,preterminal,departed,0.0258
152,V,preterminal,departs,0.0181
153,V,preterminal,find,0.0087
154,V,preterminal,finds,0.0095
155,V,preterminal,follow,0.0111
156,V,preterminal,followed,0.0103
157,V,preterminal,follows,0.0121
158,V,preterminal,found,0.0104
159,V,preterminal,help,0.0061
160,V,preterminal,helped,0.0063
161,V,preterminal,helps,0.0070
162,V,preterminal,laugh,0.0145
163,V,preterminal,laughed,0.0331
164,V,preterminal,laughs,0.0191
165,V,preterminal,meet,0.0029
166,V,preterminal,meets,0.0037
167,V,preterminal,met,0.0035
168,V,preterminal,move,0.0019
169,V,preterminal,moved,0.0020
170,V,preterminal,moves,0.0021
171,V,preterminal,pause,0.0012
172,V,preterminal,paused,0.0022
173,V,preterminal,pauses,0.0015
174,V,preterminal,praise,0.0010
175,V,preterminal,praised,0.0013
176,V,preterminal,praises,0.0014
177,V,preterminal,prefer,0.0083
178,V,preterminal,preferred,0.0077
179,V,preterminal,prefers,0.0093
180,V,preterminal,saw,0.0170
181,V,preterminal,see,0.0186
182,V,preterminal,sees,0.0197
183,V,preterminal,shout,0.0089
184,V,preterminal,shouted,0.0183
185,V,preterminal,shouts,0.0111
186,V,preterminal,sleep,0.0138
187,V,preterminal,sleeps,0.0213
188,V,preterminal,slept,0.0336
189,V,preterminal,smile,0.0054
190,V,preterminal,smiled,0.0102
191,V,preterminal,smiles,0.0070
192,V,preterminal,sneeze,0.0060
193,V,preterminal,sneezed,0.0140
194,V,preterminal,sneezes,0.0085
195,V,preterminal,solve,0.0145
196,V,preterminal,solved,0.0143
197,V,preterminal,solves,0.0127
198,V,preterminal,travel,0.0019
199,V,preterminal,traveled,0.0042
200,V,preterminal,travels,0.0030
201,V,preterminal,visit,0.0073
202,V,preterminal,visited,0.0077
203,V,preterminal,visits,0.0087
204,V,preterminal,wait,0.0122
205,V,preterminal,waited,0.0246
206,V,preterminal,waits,0.0141
207,V,preterminal,wander,0.0114
208,V,preterminal,wandered,0.0223
209,V,preterminal,wanders,0.0147
210,V,preterminal,watch,0.0121
211,V,preterminal,watched,0.0123
212,V,preterminal,watches,0.0138
