ID,LHS,LHS Type,RHS,Probability
1,A,preterminal,a,1.0
2,B,preterminal,b,1.0
3,C,preterminal,c,1.0
4,D,preterminal,d,1.0
5,E,preterminal,e,1.0
6,F,preterminal,f,1.0
7,G,preterminal,g,1.0
8,H,preterminal,h,1.0
9,I,preterminal,i,1.0
10,J,preterminal,j,1.0
11,K,preterminal,k,1.0
12,L,preterminal,l,1.0
13,M,preterminal,m,1.0
14,N,preterminal,n,1.0
15,O,preterminal,o,1.0
16,P,preterminal,p,1.0
17,Q,preterminal,q,1.0
18,R,preterminal,r,1.0
19,PT_S,preterminal,s,1.0
20,T,preterminal,t,1.0
21,U,preterminal,u,1.0
22,V,preterminal,v,1.0
23,W,preterminal,w,1.0
24,X,preterminal,x,1.0
25,Y,preterminal,y,1.0
26,Z,preterminal,z,1.0
27,S,nonterminal,S NT1,0.020126
28,S,nonterminal,NT4 S,0.105094
29,S,nonterminal,NT4 NT1,0.170096
30,S,nonterminal,NT5 S,0.080795
31,S,nonterminal,NT5 NT4,0.073344
32,S,nonterminal,NT5 NT12,0.013337
33,S,nonterminal,NT12 S,0.525028
34,S,nonterminal,NT12 NT1,0.01218
35,NT1,nonterminal,NT2 NT7,0.315052
36,NT1,nonterminal,NT3 NT10,0.02986
37,NT1,nonterminal,NT5 NT1,0.057592
38,NT1,nonterminal,NT5 NT4,0.068862
39,NT1,nonterminal,NT6 NT16,0.02465
40,NT1,nonterminal,NT8 NT2,0.039564
41,NT1,nonterminal,NT8 NT14,0.040121
42,NT1,nonterminal,NT8 NT16,0.026166
43,NT1,nonterminal,NT9 NT16,0.187102
44,NT1,nonterminal,NT11 NT6,0.068307
45,NT1,nonterminal,NT11 NT7,0.142723
46,NT2,nonterminal,A M,0.302224
47,NT2,nonterminal,Y Z,0.697776
48,NT3,nonterminal,E F,0.703512
49,NT3,nonterminal,G H,0.296488
50,NT4,nonterminal,NT2 NT13,0.126147
51,NT4,nonterminal,NT3 NT2,0.083462
52,NT4,nonterminal,NT4 NT1,0.065711
53,NT4,nonterminal,NT5 NT1,0.108126
54,NT4,nonterminal,NT5 NT4,0.10745
55,NT4,nonterminal,NT8 NT2,0.013858
56,NT4,nonterminal,NT11 NT6,0.185212
57,NT4,nonterminal,NT11 NT7,0.013139
58,NT4,nonterminal,NT12 NT1,0.013816
59,NT4,nonterminal,NT12 NT5,0.013395
60,NT4,nonterminal,NT15 NT1,0.24455
61,NT4,nonterminal,NT15 NT12,0.025133
62,NT5,nonterminal,NT3 NT2,0.03211
63,NT5,nonterminal,NT3 NT10,0.044114
64,NT5,nonterminal,NT7 NT16,0.12819
65,NT5,nonterminal,NT8 NT14,0.059714
66,NT5,nonterminal,NT11 NT6,0.389636
67,NT5,nonterminal,NT11 NT9,0.027428
68,NT5,nonterminal,NT13 NT16,0.215769
69,NT5,nonterminal,NT17 NT2,0.10304
70,NT6,nonterminal,E F,0.18702
71,NT6,nonterminal,E I,0.564086
72,NT6,nonterminal,O U,0.248894
73,NT7,nonterminal,G H,0.079504
74,NT7,nonterminal,Q R,0.659114
75,NT7,nonterminal,PT_S T,0.261382
76,NT8,nonterminal,I J,0.711517
77,NT8,nonterminal,K L,0.288483
78,NT9,nonterminal,E I,0.714073
79,NT9,nonterminal,O U,0.285927
80,NT10,nonterminal,I J,0.742685
81,NT10,nonterminal,K L,0.257315
82,NT11,nonterminal,A B,0.450579
83,NT11,nonterminal,A M,0.078309
84,NT11,nonterminal,C D,0.187537
85,NT11,nonterminal,M N,0.081223
86,NT11,nonterminal,O P,0.025907
87,NT11,nonterminal,Y Z,0.176445
88,NT12,nonterminal,NT3 NT10,0.021989
89,NT12,nonterminal,NT4 NT1,0.073486
90,NT12,nonterminal,NT5 NT1,0.034006
91,NT12,nonterminal,NT7 NT16,0.020775
92,NT12,nonterminal,NT8 NT14,0.030785
93,NT12,nonterminal,NT8 NT16,0.106586
94,NT12,nonterminal,NT11 NT6,0.144966
95,NT12,nonterminal,NT11 NT7,0.258796
96,NT12,nonterminal,NT11 NT9,0.013398
97,NT12,nonterminal,NT11 NT13,0.078534
98,NT12,nonterminal,NT12 NT1,0.018021
99,NT12,nonterminal,NT12 NT5,0.018863
100,NT12,nonterminal,NT13 NT16,0.125243
101,NT12,nonterminal,NT17 NT2,0.054552
102,NT13,nonterminal,Q R,0.688566
103,NT13,nonterminal,PT_S T,0.311434
104,NT14,nonterminal,M N,0.68797
105,NT14,nonterminal,O P,0.31203
106,NT15,nonterminal,NT2 NT13,0.017023
107,NT15,nonterminal,NT3 NT2,0.45332
108,NT15,nonterminal,NT11 NT6,0.384565
109,NT15,nonterminal,NT11 NT9,0.145092
110,NT16,nonterminal,U V,0.696767
111,NT16,nonterminal,W X,0.303233
112,NT17,nonterminal,NT12 NT16,1.0
