ID,LHS,LHS Type,RHS,Probability
1,A,preterminal,a,1.0
2,B,preterminal,b,1.0
3,C,preterminal,c,1.0
4,D,preterminal,d,1.0
5,E,preterminal,e,1.0
6,F,preterminal,f,1.0
7,G,preterminal,g,1.0
8,H,preterminal,h,1.0
9,I,preterminal,i,1.0
10,J,preterminal,j,1.0
11,K,preterminal,k,1.0
12,L,preterminal,l,1.0
13,M,preterminal,m,1.0
14,N,preterminal,n,1.0
15,O,preterminal,o,1.0
16,P,preterminal,p,1.0
17,Q,preterminal,q,1.0
18,R,preterminal,r,1.0
19,S,preterminal,s,1.0
20,T,preterminal,t,1.0
21,U,preterminal,u,1.0
22,V,preterminal,v,1.0
23,W,preterminal,w,1.0
24,X,preterminal,x,1.0
25,Y,preterminal,y,1.0
26,Z,preterminal,z,1.0
27,S,nonterminal,S NT1,0.395615
28,S,nonterminal,S NT5,0.357277
29,S,nonterminal,NT1 S,0.023456
30,S,nonterminal,NT1 NT5,0.223653
31,NT1,nonterminal,NT1 NT1,0.022443
32,NT1,nonterminal,NT3 NT4,0.076768
33,NT1,nonterminal,NT3 NT7,0.063853
34,NT1,nonterminal,NT5 NT1,0.235127
35,NT1,nonterminal,NT8 NT6,0.325775
36,NT1,nonterminal,NT8 NT9,0.110025
37,NT1,nonterminal,NT9 NT2,0.123421
38,NT1,nonterminal,NT9 NT3,0.042588
39,NT2,nonterminal,A M,0.266045
40,NT2,nonterminal,M N,0.085745
41,NT2,nonterminal,O P,0.02952
42,NT2,nonterminal,Y Z,0.61869
43,NT3,nonterminal,I J,0.721824
44,NT3,nonterminal,K L,0.278176
45,NT4,nonterminal,U V,0.705705
46,NT4,nonterminal,W X,0.294295
47,NT5,nonterminal,NT2 NT6,0.527725
48,NT5,nonterminal,NT3 NT2,0.040198
49,NT5,nonterminal,NT4 NT2,0.077309
50,NT5,nonterminal,NT6 NT4,0.354768
51,NT6,nonterminal,E I,0.285679
52,NT6,nonterminal,O U,0.122137
53,NT6,nonterminal,Q R,0.41379
54,NT6,nonterminal,S T,0.178394
55,NT7,nonterminal,M N,0.549026
56,NT7,nonterminal,O P,0.250828
57,NT7,nonterminal,NT7 NT5,0.200146
58,NT8,nonterminal,A B,0.702074
59,NT8,nonterminal,C D,0.297926
60,NT9,nonterminal,E F,0.694779
61,NT9,nonterminal,G H,0.305221
